All,Alle
"Custom Admin Path","Egendefinerte admin Sti"
"You will have to sign in after you save your custom admin path.","Du må logge på når du lagrer din egendefinerte adminsti."
Security,Sikkerhet
"Recovery Link Expiration Period (hours)","Gjenopprettingslink utløpsperiode (timer)"
"Please enter a number 1 or greater in this field.","Skriv inn et tall større 0 i dette feltet."
"Add Secret Key to URLs","Legg hemmelig nøkkel til URLene"
"Login is Case Sensitive","Påloggingen må ha riktig små og store bokstaver"
"Admin Session Lifetime (seconds)","Admin økt levetid (sekunder)"
"Please enter at least 60 and at most 31536000 (one year).","Angi minst 60 og 31536000 (ett år)."
"Enable Charts","Aktiver diagrammer"
"Url Options",Url-alternativer
"Add Store Code to Urls","Legge til Butikkoden til nettadresser"
"Auto-redirect to Base URL","Auto-omdirigere til standard-URL"
"Search Engine Optimization",Søkemotoroptimalisering
"Use Web Server Rewrites","Bruke Web Server omskrivinger"
"Base URLs","Standard URLer"
"Base URL","Standard URLer"
"Specify URL or {{base_url}} placeholder.","Angi URL-adressen eller {{base_url}} plassholder."
"Base Link URL","Standard Link URL"
"Base URL for Static View Files","Standard URL for statisk Vis filer"
"May be empty or start with {{unsecure_base_url}} placeholder.","Kan være tom eller starte med {{unsecure_base_url}} plassholder."
"Base URL for User Media Files","Standard URL for brukeren mediafiler"
"Base URLs (Secure)","Standard URLer (sikker)"
"Secure Base URL","Sikre standard URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Angi URL-adressen eller {{base_url}} eller {{unsecure_base_url}} plassholder."
"Secure Base Link URL","Sikre standard Link URL"
"Secure Base URL for Static View Files","Sikre Standard URL for statisk Vis filer"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Kan være tom eller starte med {{secure_base_url}}, eller {{unsecure_base_url}} plassholder."
"Secure Base URL for User Media Files","Sikker Standard URL for Bruker Media Filer"
"Use Secure URLs on Storefront","Bruk sikre URLer på butikk"
"Use Secure URLs in Admin","Bruk sikre URLer i Admin"
"Enable HTTP Strict Transport Security (HSTS)","Aktiver HTTP streng Transport Security (HSTS)"
"Upgrade Insecure Requests","Oppgradere usikre forespørsler"
"Offloader header","Avlaste header"
"Default Pages",Standardsider
"Default Web URL","Standard URL-adresse"
"Default No-route URL","Standard No-rute URL-adresse"
"Session Validation Settings","Økt valideringsinnstillinger"
"Validate REMOTE_ADDR","Validere REMOTE_ADDR"
"Validate HTTP_VIA","Validere HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validere HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Validere HTTP_USER_AGENT"
"Cache Type",Hurtigbuffertype
Description,Beskrivelse
Tags,Merkelapper
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 feil</h1><p>Fant ikke siden.</p>"
"Default Theme",Standardtema
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Hvis ingen verdi er angitt, brukes systemstandarden. Systemstandarden kan endres av tredjeparts utvidelser."
"Applied Theme","Anvendt tema"
"Design Rule","Design regel"
Pagination,Paginering
"How many links to display at once.","Hvor mange linker som skal vises samtidig."
"Pagination Frame","Paginerings Ramme"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Hvis den nåværende rammeposisjonen ikke dekker ytterste sider, gjør den lenken til gjeldende posisjon pluss / minus denne verdien."
"Pagination Frame Skip","Paginerings Ramme Hopp over"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternativ tekst for de forrige sidene lenkes i paginasjonsmenyen. Hvis tom, brukes standard pilbildet."
"Anchor Text for Previous","Anker Tekst for Forrige"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternativ tekst for de neste sidene lenkes i paginasjonsmenyen. Hvis tom, brukes standard pilbildet."
"Anchor Text for Next","Anker test for neste"
"Theme Name",Temanavn
"System Backup",System-sikkerhetskopiering
"Database and Media Backup","Database- og mediabackup"
"Database Backup",Databasesikkerhetskopi
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arkivet kan dekomprimeres med <a href=""%1"">%2</a> på Windows-systemer."
"You need more permissions to activate maintenance mode right now.","Du trenger utvidede rettigheter for å aktivere vedlikeholdsmodus akkurat nå."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Hvis du vil opprette sikkerhetskopien, vennligst fjern markeringen for «Sett butikk i vedlikeholdsmodus» eller oppdater tillatelsene."
"Something went wrong while putting your store into maintenance mode.","Noe gikk galt mens du prøvde å sette din butikk i vedlikeholdsmodus."
"You need more free space to create a backup.","Du trenger mer ledig plass for å opprette en sikkerhetskopi."
"You need more permissions to create a backup.","Du trenger flere tillatelser for å opprette en sikkerhetskopi."
Backups,Sikkerhetskopier
Backup,Sikkerhetskopi
failed,mislyktes
successful,vellykket
"You deleted the selected backup(s).","Du har slettet valgt(e) sikkerhetskopi(er)."
"Please correct the password.","Korriger passordet."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","For å fullføre tilbakeføring, vennligst fjern markeringen for «Sett butikk i vedlikeholdsmodus» eller oppdatere tillatelsene."
"We can't find the backup file.","Vi finner ikke sikkerhetskopien."
"We can't connect to the FTP right now.","Vi kan ikke opprette noen tilkobling til FTP-serveren akkurat nå."
"Failed to validate FTP.","Kan ikke validere FTP."
"You need more permissions to perform a rollback.","Du trenger flere tillatelser for å utføre en tilbakeføring."
"Failed to rollback.","Kan ikke tilbakestille."
"Database and Media","Database og Media"
"System (excluding Media)","System (unntatt Media)"
"You created the system backup.","Du opprettet sikkerhetskopi av systemet."
"You created the system backup (excluding media).","Du opprettet sikkerhetskopi av systemet (unntatt media)."
"You created the database and media backup.","Du opprettet databasen og media sikkerhetskopien."
"You created the database backup.","Du opprettet sikkerhetskopi av systemet."
"Please correct the order of creation for a new backup.","Korriger rekkefølgen på etableringen for en ny sikkerhetskopi."
"The backup file does not exist.","Sikkerhetskopifilen finnes ikke."
"The backup file path was not specified.","Sikkerhetskopifilbanen ble ikke angitt."
"The backup file ""%1"" does not exist.","Sikkerhetskopifilen ""%1"" finnes ikke."
"Sorry, but we cannot read from or write to backup file ""%1"".","Beklager, men vi kan ikke lese fra eller skrive til sikkerhetskopifilen ""%1""."
"The backup file handler was unspecified.","Sikkerhetskopifilbanen ble ikke angitt."
"Something went wrong while writing to the backup file ""%1"".","Noe gikk galt under skriving til sikkerhetskopifilen ""%1""."
"We can't save the Cron expression.","Cron-regelen kan ikke lagres."
"Backup functionality is disabled","Sikkerhetskopiering er deaktivert"
"You will lose any data created since the backup was made, including admin users, customers and orders.","Du vil miste data opprettet etter siste backup ble gjort, inkludert administratorbrukere, kunder og bestillinger."
"Are you sure you want to continue?","Er du sikker på at du vil fortsette?"
"This may take a few moments.","Dette kan ta litt tid."
"Be sure your store is in maintenance mode during backup.","Pass på butikken din er i vedlikeholdsmodus under sikkerhetskopiering."
"Backup Name",Sikkerhetskopinavn
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bruk bare bokstaver (a-z eller A-Z), tall (0-9) eller mellomrom i dette feltet."
"Maintenance mode",Vedlikeholdsmodus
"Please put your store into maintenance mode during backup.","Sett butikken i vedlikeholdsmodus under sikkerhetskopiering."
Exclude,Ekskluder
"Exclude media folder from backup","Ekskluder media-mappen fra sikkerhetskopiering"
"Please enter the password to confirm rollback.","Skriv inn passordet for å bekrefte tilbakeføring."
"This action cannot be undone.","Denne handlingen kan ikke angres."
"User Password",Brukerpassord
"Please put your store into maintenance mode during rollback processing.","Sett butikken i vedlikeholdsmodus under tilbakeføringprosessen."
"Use FTP Connection","Bruk FTP-tilkobling"
"FTP credentials","FTP påloggingsinformasjon"
"FTP Host",FTP-vert
"FTP Login","FTP pålogging"
"FTP Password","FTP passord"
"Magento root directory","Magento root mappe"
"Create Backup","Opprett sikkerhetskopi"
Rollback,"Rull tilbake"
"Backup Settings","Innstillinger for sikkerhetskopiering"
"Enable Backup","Aktiver sikkerhetskopiering"
"Enable Scheduled Backup","Aktiver planlagt sikkerhetskopiering"
"Scheduled Backup Type","Planlegg sikkerhetskopiering"
Frequency,Frekvens
"Maintenance Mode",Vedlikeholdsmodus
"Are you sure you want to delete the selected backup(s)?","Er du sikker på at du vil slette valgt(e) sikkerhetskopi(er)?"
Size(bytes),Størrelse(bytes)
Download,"Last ned"
"Dynamic Blocks","Dynamiske blokker"
"Add Dynamic Block","Legg til dynamisk blokk"
"Save Dynamic Block","Lagre dynamisk blokk"
"Delete Dynamic Block","Slett dynamisk blokk"
"Save and Continue Edit","Lagre og fortsett redigering"
Reset,Tilbakestill
"Default Content",Standardinnhold
"No Default Content","Ingen standardinnhold"
"Dynamic Block Default Content for All Store Views","Dynamisk blokk standard innhold for alle Butikk visninger"
"Store View Specific Content","Butikkspesifikt innholdt"
"Use Default","Bruk standard"
"Related Promotions","Relaterte kampanjer"
ID,Id
Rule,Regel
"Start Date",Startdato
"End Date",Sluttdato
"Dynamic Block Properties","Dynamisk blokk egenskaper"
"Dynamic Block Name","Dynamisk blokknavn"
Active,Aktiv
Inactive,Inaktiv
"Applies To",Gjelder
"Any Dynamic Block Type","Enhver dynamisk blokktype"
"Specified Dynamic Block Types","Spesifisert dynamisk blokktype"
"Specify Types","Angi typer"
"Dynamic Block Information","Dynamisk blokk informasjon"
"Dynamic Block","Dynamisk blokk"
"Dynamic Block Type","Dynamisk blokktype"
"Are you sure you want to delete these dynamic blocks?","Er du sikker på at du vil slette disse dynamiske blokkene?"
"Related Dynamic Blocks","Relaterte dynamiske blokker"
Position,Posisjon
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"You deleted the dynamic block.","Du slettet den dynamisk blokken."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Noe gikk galt under sletting av dynamisk blokkdata. Vennligst ta en titt i logg for mer informasjon og prøv igjen. "
"We cannot find a dynamic block to delete.","Vi kan desverre ikke finne en dynamisk blokk å slette."
"This dynamic block no longer exists.","Denne dynamiske blokken eksisterer ikke lengre."
"Edit Dynamic Block","Endre dynamisk blokk"
"Please select a dynamic block(s).","Vennligst velg dynamisk(e) blokk(er)."
"You deleted %1 record(s).","Du slettet %1 oppføring(er)."
"Invalid Request","Ugyldig forespørsel"
"Please enter a name.","Skriv inn et navn."
"-- None --","-- Ingen --"
"Invalid content","Ugyldig innhold"
"Content Area",Innholdsområde
Footer,Bunntekst
Header,Overskrift
"Left Column","Venstre kolonne"
"Right Column","Høyre kolonne"
"Rotation Mode",Roteringsmodus
"Display all instead of rotating","Vise alle i stedet for å rotere"
"One at the time, Random","En av gangen i tilfeldig rekkefølge"
"One at the time, Series","En av gangen i sekvens"
"One at the time, Shuffle","En av gangen i tilfeldig rekkefølge"
"Status Label","Status etikett"
"General Information","Generell Informasjon"
"Add Selected","Legg til valgte"
Visibility,Synlighet
"All Segments","Alle segmenter"
"Customer Segment",Kundesegment
"Allowed Credit Card Types","Tillatte kredittkorttyper"
"Add Rule","Legg til regel"
"Braintree Settlement Report","Braintree Omsetningsrapport"
"Sorry, but something went wrong","Beklager, men noe gikk galt"
"No authorization transaction to proceed capture.","Ingen autorisasjonstransaksjon for å fortsette capture."
"Braintree error response.","Braintree feilmeldingssvar."
"Payment method nonce can't be retrieved.","Betalingsmetode nonce kan ikke hentes."
"Wrong transaction status","Feil transaksjonsstatus"
Authorize,Autoriser
"Credit Card",Kredittkort
ending,slutter
expires,utløper
"Please agree to all the terms and conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Transaction was failed.","Transaksjonen feilet."
"Please, enter valid Credit Card Number","Skriv inn gyldig kredittkortnummer"
"Please, enter valid Expiration Date","Skriv inn gyldig utløpsdato"
"Please, enter valid Card Verification Number","Skriv inn gyldig kort verifikasjonsnummer"
"Are you sure you want to delete this PayPal account","Er du sikker på at du vil slette denne PayPal kontoen"
"PayPal Account",PayPal-konto
"PayPal Logo",PayPal-Logo
"Credit Card Information",Kredittkortinformasjon
"Save for later use.","Lagre for senere bruk."
"This payment is not available","Denne betalingen er ikke tilgjengelig"
YY,ÅÅ
"Please try again with another form of payment.","Vennligst prøv på nytt med en annen betalingsmåte."
"Sorry, but something went wrong.","Beklager, men noe gikk galt."
"Payment ","Betaling "
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaksjon kan bare bli ugyldig dersom status er autorisert, submitted_for_settlement, eller - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Kredittransaksjoner kan ikke refunderes."
"Transaction has already been completely refunded.","Transaksjonen har allerede blitt refundert."
"Payment instrument type is not accepted by this merchant account.","Betalingsinstrumenttypen aksepteres ikke av denne selgerkontoen."
"Refund amount is too large.","Tilbakebetalingssummen er for stor."
"Settlement amount is too large.","Forliksbeløpet er for stort."
"Cannot refund a transaction with a suspended merchant account.","Kan ikke refundere en transaksjon med en suspendert forhandlerkonto."
"Merchant account does not support refunds.","Forhandlerkonto støtter ikke refusjon."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Kan ikke refundere en transaksjonstransaksjon i oppgjørsstatus på denne selgerkontoen. Prøv igjen etter at transaksjonen er avgjort."
"PayPal is not enabled for your merchant account.","PayPal er ikke aktivert for din forhandlerkonto."
"Partial settlements are not supported by this processor.","Delvis oppgjør støttes ikke av denne prosessoren."
"Cannot submit for partial settlement.","Kan ikke sende inn for delvis oppgjør."
"Too many concurrent attempts to refund this transaction. Try again later.","For mange parallelle forsøk på å refundere denne transaksjonen. Prøv igjen senere."
"Too many concurrent attempts to void this transaction. Try again later.","For mange samtidige forsøk på å ugyldiggjøre denne transaksjonen. Prøv igjen senere."
"Enable this Solution","Aktiver løsningen"
"Enable PayPal through Braintree","Aktiver PayPal gjennom Braintree"
"Vault Enabled","Hvelv aktivert"
"Basic Braintree Settings","Grunnleggende Braintree innstillinger"
"Merchant ID","Selger ID"
"Public Key","Offentlig nøkkel"
"Private Key","Privat nøkkel"
"Advanced Braintree Settings","Avansert Braintree innstillinger"
"Vault Title","Tittel på hvelvet"
"Merchant Account ID","Kjøpmann konto-ID"
"Advanced Fraud Protection","Avansert svidelbeskyttelse"
"Kount Merchant ID","Kount kjøpmann ID"
"CVV Verification","CVV bekreftelse"
"Country Specific Settings","Landspesifikke instillinger"
"Country Specific Credit Card Types","Landet bestemte kredittkort typer"
"PayPal through Braintree","PayPal gjennom Braintree"
"Override Merchant Name","Overstyr selgernavn"
"Require Customer's Billing Address","Krev kundens faktureringsadresse"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Tillat redigering av leveringsadresser oppgitt når det betales via Paypal side"
"Display on Shopping Cart","Vis i handlekurv"
"Skip Order Review","Hopp over ordregjennomgang"
"3D Secure Verification Settings","3D Sikker Verifikasjon Innstillinger"
"3D Secure Verification","3D Sikker Verifikasjon"
"Threshold Amount",Terskelbeløp
"Verify for Applicable Countries","Bekreft for aktuelle land"
"Verify for Specific Countries","Bekreft for bestemte land"
"Dynamic Descriptors","Dynamiske beskrivere"
Phone,Telefon
"CVV is required.","CVV er påkrevd."
"Expiration year is invalid. It must be between 1975 and 2201.","Utløpsdato er ugyldig. Det må være mellom 1975 og 2201."
"CVV verification failed.","CVV verifikasjon feilet."
"Postal code verification failed.","Postkode verifikasjon feilet."
"Credit card number is prohibited.","Kreditkortnummer er påbudt."
"Addresses must have at least one field filled in.","Addresser må ha minst et felt fylt inn."
"Company is too long.","Firmanavn er for langt."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postnummer kan bare inneholde bokstaver, tall, mellomrom og bindestreker."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Amerikanske stat-koder må være to tegn for å oppfylle PayPal Sellers beskyttelseskrav."
"Incomplete PayPal account information.","Ufullstendig PayPal-kontoinformasjon."
"Invalid PayPal account information.","Ugyldig PayPal-kontoinformasjon."
"PayPal Accounts are not accepted by this merchant account.","PayPal-kontoer aksepteres ikke av denne selgerkontoen."
"Billing address format is invalid.","Faktureringsadresseformat er ugyldig."
"Country name is not an accepted country.","Landet er ikke et akseptert land."
"Country code is not accepted. Please contact the store administrator.","Landskode aksepteres ikke. Ta kontakt med butikkadministratoren."
"Provided country information is inconsistent.","Angitt informasjon om land er inkonsekvent."
"Customer has already reached the maximum of 50 addresses.","Kunden har allerede nådd maksgrensen på 50 adresser."
"Address is invalid. Please contact the store administrator.","Adressen er ugyldig. Kontakt butikkadministratoren."
"Error communicating with PayPal.","Feil under kommunikasjon med PayPal."
"PayPal authentication expired.","PayPal godkjenning utløpt."
"Error executing PayPal order.","Feil under utføring av PayPal bestilling."
"Error executing PayPal billing agreement.","Feil under utføring av PayPal faktureringsavtale."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Bruke filtre for å få resultatene. Bare de første 100 postene vil vises i rutenettet, du kunne laste ned fullversjonen av rapporten i csv-format."
Select...,Velg...
"Transaction Type",Transaksjonstype
"Payment Type",Betalingstype
"PayPal Payment ID","PayPal betalings-ID"
"Created At",Opprettet
"Transaction ID",Transaksjons-ID
"Order ID",Ordre-ID
Amount,Antall
"Settlement Code",Forlikskode
"Settlement Response Text","Forliks-svar tekst"
"Refund Ids",Refusjonsid'er
"Settlement Batch ID","Oppgjørsseddel ID"
Month,Måned
Year,År
"Stored Card","Lagrede kort"
"Credit card successfully added","Kredittkort ble vellykket lagt til"
"Something went wrong while saving the card.","En feil oppstod ved lagring av kort."
"Credit card does not exist","Kredittkort finnes ikke"
"Delete Credit Card","Fjern kredittkort"
"There was error deleting the credit card","Det oppstod en feil ved sletting av kredittkortet"
"Credit card successfully deleted","Vellykket sletting av kredittkort"
"Edit Credit Card","Redigere kredittkort"
"My Credit Cards","Mine kredittkort"
"New Credit Card","Nytt kredittkort"
"There was error during saving card data","Det oppstod en feil under lagring av kortdata"
"We can't place the order.","Vi kan ikke gjennomføre bestillingen."
"Incorrect payment method.","Feil betalingsmetode."
"We can't update shipping method.","Vi kan ikke oppdatere leveringsmetoden."
"Transaction declined: ","Transaksjonen avslått: "
"Incomplete payment information.","Ufullstendig betalingsinformasjon."
"Please try again later","Vennligst prøv igjen senere"
"Voided capture.","Ugyldiggjort reservasjon."
Invoice,Faktura
Shipment,Forsendelse
"some error","en feil har oppstått"
exception,unntak
"Payment Information",Betalingsinformasjon
or,eller
"Cardholder Name","Navn på kortholder"
"* Required Fields","* Nødvendige felt"
"Make Default","Sett som standard"
"Billing Address",Faktureringsadresse
Company,Bedrift
Address,Adresse
State/Province,Stat/provins
"Please select region, state or province","Vennligst velg region, fylke eller sted"
"Zip/Postal Code",Postnummer
"Add Credit Card","Legg til kredittkort"
"Card Number",Kortnummer
"Is Default","Er standard"
"Pay with PayPal","Betal med PayPal"
"Also affects mini-shopping cart.","Påvirker også mini handlekurv."
"Paypal account",PayPal-konto
"Coinbase account","Coinbase konto"
"Europe bank account","Europa bankkonto"
"Credit card",Kredittkort
"Apple pay card",Apple-betalingskort
"Android pay card",Android-betalingskort
"Authorization expired","Autorisasjon utløpt"
Authorizing,Autoriserer
Authorized,Autorisert
"Gateway rejected","Gateway avvist"
Failed,Mislykket
"Processor declined","Prosessor avslått"
Settled,Avgjort
Settling,Avgjøring
"Submitted for settlement","Sendt til oppgjør"
Voided,Kansellert
Unrecognized,"Ikke gjenkjent"
"Settlement declined","Avgjøring avslått"
"Settlement pending","Avgjøring venter"
"Settlement confirmed","Avgjøring bekreftet"
Sale,Salg
Credit,Kreditt
"Percent Discount","Prosent rabatt"
"-- Select --","-- Velg --"
Dynamic,Dynamisk
Fixed,Fast
"Create New Option","Opprette nytt alternativ"
"Bundle Items",Pakke-elementer
"Add Products to Option","Legge til produkter i alternativet"
"Delete Option","Slett alternativet"
"What are you looking for?","Hva leter du etter?"
"There is no defined renderer for ""%1"" option type.","Det er ingen definert renderer for alternativtypen ""%1""."
"Could not save child: ""%1""","Kunne ikke lagre barn: ""%1"""
"Price Range",Prisområde
"As Low as","Så lav som"
Together,Sammen
Separately,Separat
"The options you selected are not available.","Alternativet du har valgt er ikke tilgjengelig."
"The required options you selected are not available.","De nødvendige alternativene du har valgt er ikke tilgjengelig."
"Please select all required options.","Vennligst velg alle nødvendige alternativ."
"We can't add this item to your shopping cart right now.","Vi kan ikke legge produkt til handlekurven akkurat nå."
N/A,I/T
Percent,Prosent
"Add Selected Products","Legg til merkede produkter"
"Add Option","Legg til alternativ"
"New Option","Nytt alternativ"
"Option Title",Alternativtittel
"Default Title","Standard tittel"
"Store View Title","Butikk se tittel"
"Input Type",Inndatatype
Drop-down,Rullegardin
"Radio Buttons",Radioknapper
Checkbox,Avkryssingsboks
"Multiple Select","Merk flere"
Required,Kreves
"Default Quantity","Standard antall"
"User Defined",Brukerdefinerte
"Price Type",Pristype
Quantity:,Antall:
"Choose a selection...","Velg et utvalg..."
"Ship Bundle Items","Send pakke-elementer"
"There are no products in this option.","Det finnes ingen produkter i dette alternativet."
Default,Standard
Ordered,Bestilt
Invoiced,Fakturert
Shipped,Sendt
Refunded,Refundert
Canceled,Avbrutt
"Regular Price","Vanlig pris"
"As low as","Så lav som"
"Buy %1 with %2 discount each","Kjøp %1 med %2 rabatt hver"
"Go back to product details","Tilbake til Produktdetaljer"
"Customize and Add to Cart","Tilpasse og legg til handlekurv"
"Your Customization",Nettstedstilpasning
Availability,Tilgjengelighet
"In stock","På lager"
"Out of stock","Ikke på lager"
Availability:,Tilgjengelighet:
"Customize %1","Tilpass %1"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"Gift Message",Gavemelding
From:,Fra:
To:,Til:
Message:,Melding:
"Product Name",Produktnavn
"Discount Amount",Rabattbeløp
"Row Total","Rader Totalt"
"Qty Invoiced","Antall fakturert"
"Qty Shipped","Antall sendt"
"Add Products to New Option","Legge produkter til nytt alternativ"
"Add Products to Option ""%1""","Legge til produkter i alternativ ""%1"""
"""option_id"" and ""parent_id"" values should be specified","""option_id"" og ""parent_id"" verdier bør spesifiseres"
"""sku"" value should be specified","""sku"" verdi bør spesifiseres"
Always,Alltid
"After number of attempts to login","Etter antall forsøk på å logge inn"
"Provided form does not exist","Skjemaet eksisterer ikke"
"Incorrect CAPTCHA","Feil CAPTCHA"
"Incorrect CAPTCHA.","Feil CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Kontoen er låst. Vennligst vent og prøv igjen eller kontakt %1."
"Please enter the letters and numbers from the image","Skriv inn bokstavene og tallene fra bildet"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Merk</strong>: Captcha er case sensitive."
"Reload captcha","Laste inn captcha på nytt"
"Please type the letters and numbers below","Skriv inn bokstavene og tallene nedenfor"
"Attention: Captcha is case sensitive.","Merk: Captcha er case sensitive."
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i Admin"
Font,Skrifttype
Forms,Skjemaer
"Displaying Mode",Visningsmodus
"Number of Unsuccessful Attempts to Login","Antall mislykkede forsøk i å logge inn"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 er angitt, blir CAPTCHA på påloggingsskjema alltid tilgjengelig."
"CAPTCHA Timeout (minutes)","CAPTCHA tidsavbrudd (minutter)"
"Number of Symbols","Antall symboler"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Venligst spesifiser maksimum 8 symboler. Utvalg tillatt (f.eks. 3-5)"
"Symbols Used in CAPTCHA","Symboler som brukes i CAPTCHA"
"Case Sensitive","Skill mellom store og små bokstaver"
"Enable CAPTCHA on Storefront","Aktiver CAPTCHA i butikk"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Opprett bruker"" og ""Glemt passord"" skjemaer er alltid aktivert hvis valgt."
Root,Rot
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use All Available Attributes","Bruke alle tilgjengelige attributter"
"Add Subcategory","Legg til underkategori"
"Add Root Category","Legg til rotkategori"
Day,Dag
from,fra
to,til
[WEBSITE],[NETTSTED]
"[STORE VIEW]",[LAGERVISNING]
"Add Product","Legg til produkt"
"Product Attributes",Produkt-attributter
"Add New Attribute","Legge til nytt attributt"
"Save Attribute","Lagre attributt"
"Save in New Attribute Set","Lagre i nye attributtsettet"
"Enter Name for New Attribute Set","Angi navn på nytt attributtsettet"
"Delete Attribute","Slett attributt"
"Edit Product Attribute ""%1""","Rediger produktattributtet ""%1"""
"New Product Attribute","Nytt produktattributt"
"Advanced Attribute Properties","Avanserte egenskaper for attributt"
"Attribute Code",Attributtkode
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette brukes internt. Kontroller at du ikke bruker mellomrom eller mer enn %1 symboler."
"Default Value",Standardverdi
"Unique Value","Unik verdi"
"Unique Value (not shared with other products)","Unik verdi (ikke delt med andre produkter)"
"Not shared with other products.","Ikke delt med andre produkter."
"Input Validation for Store Owner","Validering av inndata for butikkeier"
"Add to Column Options","Legge til kolonnealternativer"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Velg ""Ja"" for å legge til attributtet i listen av kolonnealternativer i produktrutenettet."
"Use in Filter Options","Bruk filteralternativene"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Velg ""Ja"" for å legge til attributtet i listen over filtreringsalternativene i produktrutenettet."
Website,Nettsted
Scope,Omfang
"Declare attribute value saving scope.","Erklær attributtverdiens lagre-omfang."
"Storefront Properties",Butikkegenskaper
"Use in Search","Bruk i Søk"
"Visible in Advanced Search","Synlig i avansert søk"
"Comparable on Storefront","Sammenlignbare på butikk"
"Use for Promo Rule Conditions","Bruk i Promo-regelbetingelser"
"Allow HTML Tags on Storefront","Tillat HTML-koder på butikk"
"Visible on Catalog Pages on Storefront","Synlig på katalogsider på butikk"
"Used in Product Listing","Brukes i produktliste"
"Depends on design theme.","Avhenger av utformingstemaet."
"Used for Sorting in Product Listing","Brukes til sortering i produktliste"
"Media Image",Mediebildet
Gallery,Galleri
"System Properties",Systemegenskaper
"Data Type for Saving in Database","Datatype for lagring i databasen"
Text,Tekst
Static,Statisk
Datetime,DateTime
Decimal,Desimaltall
Integer,Heltall
"Globally Editable","Globalt redigerbare"
"Attribute Information",Attributtinformasjon
Properties,Egenskaper
"Manage Labels","Administrer bannere"
Visible,Synlig
Searchable,Søkbar
Comparable,Sammenlignbare
"Delete Selected Group","Slett valgt gruppe"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Du er ferd med å slette alle produkter i dette attributtet. Er du sikker på at du vil gjøre det?"
"New Set Name","Nytt sett navn"
"Edit Attribute Set '%1'","Rediger attributtsett '%1'"
Empty,Tom
"Add Attribute","Legge til attributt"
"Add New Group","Legge til ny gruppe"
"Add Group","Legg til gruppe"
"For internal use","For intern bruk"
"Based On","Basert på"
"Edit Attribute Set Name","Rediger attributtsettnavn"
"Add New Attribute Set","Legg til ny attributtssett"
"Add Attribute Set","Legg til attributtsett"
"Attribute Sets",Attributtsett
"Close Window","Lukk vindu"
"New Product","Nytt produkt"
"Save & Edit","Lagre & Rediger"
"Save & New","Lagre & Ny"
"Save & Duplicate","Lagre & dupliser"
"Save & Close","Lagre & lukk"
Change,Endre
"Advanced Inventory","Avansert lager"
Websites,Nettsider
"Products Information",Produktinformasjon
"Create Category","Opprett kategori"
"Category Name",Kategorinavn
"Parent Category","Overordnet kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Hvis det er ingen egendefinerte overordnede kategorier, kan du bruke standard overordnet kategori. Du kan tilordne kategori når som helst i <a href=""%1"" target=""_blank"">produkter > kategorier</a>."
"Price Alert Subscriptions","Pris varslings abonnement"
"Stock Alert Subscriptions","Lager varslings abonnement"
